_id_,fecha_inicio,comp_interno1,comp_interno2,comp_interno3,comp_interno4,categoria1,categoria2,categoria3
92985,2021-01-20,0.0,b'1',19.0,51.0,1.0,3.0,164.0
31081,2017-07-19,506.5856129685917,b'1',9.0,75.0,1.0,9.0,154.0
44490,2018-03-23,911.854103343465,b'1',19.0,75.0,1.0,9.0,164.0
1476,2016-03-22,0.0,b'1',14.0,58.0,2.0,8.0,159.0
8730,2016-05-10,0.0,b'0',1.0,44.0,1.0,9.0,146.0
63627,2019-04-30,0.0,b'0',1.0,50.0,2.0,11.0,146.0
34548,2017-09-04,425.531914893617,b'0',2.0,50.0,3.0,9.0,147.0
73574,2019-12-31,0.0,b'1',19.0,68.0,3.0,9.0,164.0
92312,2021-01-12,8105.369807497467,b'1',22.0,70.0,3.0,9.0,167.0
94588,2021-02-24,0.0,b'1',1.0,71.0,3.0,9.0,146.0
2484,2016-04-08,0.0,b'1',6.0,68.0,3.0,3.0,151.0
73156,2019-11-06,911.854103343465,b'1',25.0,71.0,2.0,9.0,170.0
65422,2019-10-07,0.0,b'1',1.0,54.0,1.0,9.0,146.0
91782,2020-12-14,0.0,b'0',27.0,39.0,2.0,5.0,172.0
20268,2016-11-29,1215.80547112462,b'1',6.0,73.0,3.0,9.0,151.0
12676,2016-07-18,810.5369807497467,b'1',24.0,55.0,1.0,9.0,169.0
13606,2016-09-14,0.0,b'1',1.0,43.0,3.0,9.0,146.0
21152,2016-12-13,0.0,b'1',19.0,46.0,3.0,9.0,164.0
59310,2019-03-04,0.0,b'1',4.0,54.0,2.0,6.0,149.0
71362,2019-10-23,0.0,b'0',14.0,50.0,1.0,9.0,159.0
7596,2016-07-22,0.0,b'0',19.0,49.0,4.0,6.0,164.0
40061,2017-12-19,0.0,b'0',17.0,40.0,1.0,9.0,162.0
97397,2021-04-08,0.0,b'0',19.0,64.0,4.0,9.0,164.0
31295,2018-02-14,0.0,b'1',19.0,63.0,3.0,3.0,164.0
374,2016-03-02,0.0,b'0',14.0,48.0,1.0,9.0,159.0
71079,2019-12-17,0.0,b'0',15.0,75.0,1.0,9.0,160.0
69583,2019-08-22,0.0,b'0',31.0,43.0,1.0,7.0,176.0
72454,2020-02-25,0.0,b'1',19.0,43.0,3.0,9.0,164.0
54444,2018-11-12,0.0,b'0',14.0,43.0,3.0,6.0,159.0
36352,2018-02-28,1519.756838905775,b'1',19.0,57.0,3.0,9.0,164.0
8238,2016-05-02,1519.756838905775,b'1',1.0,62.0,1.0,9.0,146.0
21073,2016-12-09,0.0,b'1',31.0,65.0,2.0,9.0,176.0
44180,2018-08-06,0.0,b'1',1.0,72.0,1.0,6.0,146.0
65895,2019-06-03,0.0,b'1',24.0,60.0,1.0,10.0,169.0
15649,2016-09-20,0.0,b'1',19.0,43.0,3.0,3.0,164.0
36177,2017-10-13,0.0,b'1',1.0,43.0,1.0,9.0,146.0
22984,2017-01-25,0.0,b'1',14.0,40.0,1.0,9.0,159.0
3645,2016-07-05,2422.4924012158053,b'0',1.0,72.0,3.0,11.0,146.0
41663,2018-02-01,0.0,b'1',28.0,51.0,3.0,9.0,173.0
73928,2020-01-16,3546.099290780142,b'1',21.0,55.0,2.0,6.0,166.0
38943,2017-12-29,0.0,b'1',30.0,49.0,1.0,9.0,175.0
67435,2019-09-05,0.0,b'1',23.0,54.0,1.0,9.0,168.0
83809,2020-08-06,0.0,b'1',27.0,74.0,1.0,9.0,172.0
9164,2016-05-17,0.0,b'1',25.0,51.0,2.0,6.0,170.0
47631,2018-05-15,1013.1712259371834,b'1',9.0,59.0,1.0,3.0,154.0
34734,2017-11-09,8105.369807497467,b'1',22.0,64.0,1.0,6.0,167.0
98330,2021-04-05,0.0,b'1',19.0,44.0,1.0,9.0,164.0
37816,2017-11-04,810.5369807497467,b'1',11.0,39.0,1.0,4.0,156.0
47629,2018-08-21,1519.756838905775,b'1',31.0,66.0,3.0,9.0,176.0
7657,2016-07-29,0.0,b'0',17.0,43.0,1.0,9.0,162.0
87482,2020-10-26,0.0,b'1',15.0,47.0,2.0,8.0,160.0
91552,2020-12-22,0.0,b'1',22.0,59.0,1.0,9.0,167.0
73294,2019-11-11,0.0,b'1',19.0,57.0,3.0,9.0,164.0
45950,2018-09-21,0.0,b'1',23.0,47.0,2.0,8.0,168.0
72090,2019-11-27,0.0,b'1',14.0,75.0,2.0,9.0,159.0
57619,2018-11-29,0.0,b'0',22.0,45.0,1.0,9.0,167.0
31750,2017-11-15,1013.1712259371834,b'1',9.0,70.0,1.0,7.0,154.0
26504,2017-06-01,0.0,b'0',25.0,53.0,2.0,9.0,170.0
91269,2020-11-18,759.8784194528876,b'1',9.0,60.0,1.0,9.0,154.0
70014,2019-09-10,0.0,b'1',9.0,30.0,1.0,6.0,154.0
19637,2016-12-07,0.0,b'1',26.0,48.0,2.0,11.0,171.0
33101,2017-08-03,0.0,b'0',14.0,58.0,1.0,9.0,159.0
48672,2018-06-12,1519.756838905775,b'0',3.0,41.0,1.0,1.0,148.0
5420,2016-08-26,4052.6849037487336,b'1',19.0,47.0,2.0,9.0,164.0
25963,2017-06-16,0.0,b'0',15.0,45.0,1.0,9.0,160.0
64944,2019-06-04,0.0,b'0',1.0,47.0,1.0,9.0,146.0
20688,2017-03-30,1215.80547112462,b'1',25.0,63.0,3.0,3.0,170.0
92545,2021-01-12,0.0,b'1',30.0,55.0,1.0,13.0,175.0
53018,2019-01-30,0.0,b'0',22.0,58.0,3.0,9.0,167.0
65836,2019-06-26,0.0,b'1',19.0,48.0,3.0,9.0,164.0
37235,2017-12-22,0.0,b'1',27.0,47.0,2.0,9.0,172.0
23170,2017-01-31,0.0,b'1',1.0,44.0,1.0,11.0,146.0
48774,2018-09-05,0.0,b'0',9.0,51.0,1.0,9.0,154.0
69601,2019-10-04,8105.369807497467,b'1',23.0,54.0,1.0,6.0,168.0
20893,2016-12-08,0.0,b'0',1.0,52.0,2.0,9.0,146.0
68841,2020-01-24,0.0,b'1',9.0,44.0,1.0,9.0,154.0
91465,2020-11-17,0.0,b'1',14.0,71.0,3.0,9.0,159.0
85707,2020-09-29,0.0,b'1',19.0,57.0,2.0,9.0,164.0
76783,2020-01-22,0.0,b'0',9.0,58.0,2.0,6.0,154.0
62998,2019-07-08,0.0,b'0',3.0,52.0,2.0,9.0,148.0
2486,2016-04-06,607.90273556231,b'1',11.0,56.0,1.0,5.0,156.0
71786,2019-11-12,3546.099290780142,b'1',14.0,44.0,2.0,9.0,159.0
44547,2018-04-13,0.0,b'1',19.0,73.0,2.0,9.0,164.0
98102,2021-03-31,0.0,b'1',22.0,61.0,2.0,9.0,167.0
52968,2018-09-05,0.0,b'1',1.0,69.0,1.0,9.0,146.0
85577,2020-09-15,2735.562310030395,b'1',14.0,51.0,3.0,4.0,159.0
2386,2016-03-15,0.0,b'0',23.0,50.0,1.0,6.0,168.0
5775,2016-05-09,5065.856129685917,b'1',3.0,58.0,3.0,9.0,148.0
41691,2018-01-24,455.9270516717325,b'1',19.0,46.0,1.0,3.0,164.0
72113,2019-11-22,911.854103343465,b'1',24.0,46.0,1.0,9.0,169.0
79555,2020-05-06,0.0,b'1',19.0,65.0,3.0,9.0,164.0
17970,2017-01-27,0.0,b'1',23.0,57.0,1.0,9.0,168.0
17399,2016-12-16,455.9270516717325,b'1',17.0,55.0,2.0,9.0,162.0
54595,2019-01-09,0.0,b'1',1.0,64.0,1.0,9.0,146.0
97435,2021-04-06,0.0,b'1',18.0,61.0,2.0,9.0,163.0
95550,2021-03-11,0.0,b'1',1.0,58.0,1.0,9.0,146.0
78465,2020-03-27,0.0,b'1',14.0,36.0,1.0,9.0,159.0
41270,2018-01-30,0.0,b'1',24.0,44.0,2.0,9.0,169.0
85852,2020-09-22,1013.1712259371834,b'1',19.0,55.0,2.0,6.0,164.0
94410,2021-01-27,0.0,b'1',23.0,71.0,1.0,9.0,168.0
59388,2019-01-29,0.0,b'0',15.0,49.0,1.0,8.0,160.0
45551,2018-05-25,0.0,b'1',9.0,36.0,1.0,9.0,154.0
86465,2020-09-22,0.0,b'1',5.0,57.0,1.0,9.0,150.0
38903,2018-01-03,0.0,b'1',19.0,59.0,3.0,9.0,164.0
11253,2016-06-24,0.0,b'1',19.0,64.0,2.0,3.0,164.0
461,2016-06-03,1013.1712259371834,b'0',14.0,45.0,3.0,8.0,159.0
38648,2017-11-21,0.0,b'1',14.0,59.0,1.0,9.0,159.0
50261,2018-07-04,0.0,b'1',19.0,44.0,3.0,9.0,164.0
51101,2018-08-23,658.5612968591691,b'1',2.0,47.0,2.0,6.0,147.0
16965,2016-11-22,0.0,b'0',19.0,55.0,3.0,9.0,164.0
22010,2017-01-31,911.854103343465,b'1',19.0,45.0,3.0,9.0,164.0
3791,2016-03-28,1013.1712259371834,b'1',28.0,61.0,3.0,11.0,173.0
21779,2017-06-16,0.0,b'0',23.0,56.0,1.0,9.0,168.0
38249,2017-11-17,607.90273556231,b'1',8.0,70.0,1.0,9.0,153.0
69486,2019-11-08,0.0,b'1',26.0,61.0,2.0,1.0,171.0
44649,2018-10-01,0.0,b'0',1.0,42.0,1.0,9.0,146.0
33487,2017-09-20,1008.1053698074975,b'1',28.0,59.0,2.0,9.0,173.0
57432,2018-12-19,0.0,b'1',19.0,70.0,1.0,9.0,164.0
70402,2019-10-23,0.0,b'1',14.0,75.0,2.0,9.0,159.0
94341,2020-12-17,0.0,b'1',22.0,52.0,1.0,9.0,167.0
36152,2017-12-06,56241.13475177305,b'0',1.0,64.0,1.0,9.0,146.0
35487,2017-09-26,0.0,b'1',1.0,48.0,2.0,9.0,146.0
31512,2017-09-26,0.0,b'1',15.0,59.0,1.0,9.0,160.0
48929,2018-06-25,101.31712259371834,b'1',10.0,50.0,1.0,9.0,155.0
91772,2020-12-15,0.0,b'0',1.0,62.0,1.0,9.0,146.0
56240,2019-02-01,607.90273556231,b'1',15.0,45.0,3.0,9.0,160.0
38062,2018-02-09,0.0,b'0',15.0,46.0,1.0,8.0,160.0
80568,2020-06-01,8105.369807497467,b'1',21.0,71.0,1.0,5.0,166.0
38449,2017-11-17,3039.51367781155,b'1',19.0,69.0,4.0,7.0,164.0
3523,2016-04-20,1013.1712259371834,b'1',30.0,68.0,1.0,5.0,175.0
90297,2020-11-27,303.951367781155,b'1',30.0,52.0,1.0,9.0,175.0
71789,2019-11-11,810.5369807497467,b'1',10.0,51.0,1.0,9.0,155.0
15659,2016-12-26,709.2198581560284,b'1',7.0,47.0,1.0,9.0,152.0
56781,2018-11-26,0.0,b'1',15.0,54.0,3.0,9.0,160.0
46685,2018-05-24,0.0,b'1',21.0,75.0,2.0,3.0,166.0
86273,2020-09-24,0.0,b'0',1.0,61.0,1.0,9.0,146.0
89222,2020-10-16,0.0,b'1',19.0,53.0,3.0,9.0,164.0
84237,2020-07-20,0.0,b'1',1.0,49.0,1.0,11.0,146.0
58746,2019-01-09,1013.1712259371834,b'0',4.0,50.0,1.0,9.0,149.0
55029,2018-11-26,0.0,b'0',11.0,58.0,1.0,9.0,156.0
97870,2021-03-03,0.0,b'1',1.0,61.0,1.0,9.0,146.0
36551,2017-11-28,1215.80547112462,b'1',11.0,59.0,1.0,9.0,156.0
77877,2020-03-24,0.0,b'1',3.0,75.0,1.0,9.0,148.0
9631,2016-07-13,0.0,b'1',19.0,52.0,1.0,9.0,164.0
15724,2016-10-31,0.0,b'1',28.0,69.0,3.0,9.0,173.0
14269,2016-11-17,1013.1712259371834,b'1',11.0,51.0,2.0,9.0,156.0
51086,2018-08-17,1013.1712259371834,b'0',1.0,75.0,1.0,9.0,146.0
9911,2016-07-07,0.0,b'1',15.0,44.0,1.0,9.0,160.0
92984,2021-01-08,0.0,b'0',1.0,52.0,3.0,9.0,146.0
38175,2017-11-29,0.0,b'1',22.0,51.0,2.0,9.0,167.0
3611,2016-01-29,0.0,b'0',2.0,67.0,2.0,6.0,147.0
4414,2016-05-23,0.0,b'1',15.0,50.0,3.0,9.0,160.0
84646,2020-07-10,0.0,b'0',1.0,57.0,3.0,6.0,146.0
33448,2017-11-17,1013.1712259371834,b'1',25.0,68.0,1.0,9.0,170.0
65346,2019-05-21,0.0,b'1',22.0,48.0,2.0,9.0,167.0
67920,2019-07-16,0.0,b'0',16.0,47.0,2.0,11.0,161.0
81647,2020-05-21,1215.80547112462,b'1',6.0,45.0,1.0,3.0,151.0
62913,2019-04-10,0.0,b'0',19.0,57.0,3.0,9.0,164.0
22645,2017-02-01,0.0,b'0',24.0,60.0,3.0,7.0,169.0
24375,2017-02-20,911.854103343465,b'1',19.0,60.0,4.0,9.0,164.0
72523,2019-10-31,0.0,b'0',24.0,55.0,1.0,10.0,169.0
67928,2019-12-02,0.0,b'1',10.0,44.0,1.0,9.0,155.0
82891,2020-06-22,0.0,b'1',19.0,48.0,4.0,9.0,164.0
58584,2019-01-07,0.0,b'1',1.0,57.0,1.0,9.0,146.0
83438,2020-07-24,2330.293819655522,b'0',17.0,67.0,3.0,9.0,162.0
75572,2019-12-11,0.0,b'1',24.0,59.0,1.0,10.0,169.0
33195,2017-08-17,506.5856129685917,b'1',28.0,55.0,1.0,9.0,173.0
17793,2016-12-19,0.0,b'0',15.0,59.0,1.0,9.0,160.0
11949,2016-10-07,0.0,b'0',26.0,58.0,2.0,6.0,171.0
12592,2016-07-19,4052.6849037487336,b'1',3.0,65.0,1.0,9.0,148.0
22917,2017-01-27,0.0,b'1',9.0,49.0,1.0,9.0,154.0
5265,2016-03-30,1519.756838905775,b'0',19.0,61.0,3.0,6.0,164.0
93346,2021-01-27,2026.3424518743668,b'1',1.0,61.0,2.0,9.0,146.0
63099,2019-03-29,506.5856129685917,b'0',22.0,56.0,2.0,9.0,167.0
23489,2017-02-20,0.0,b'0',30.0,64.0,3.0,13.0,175.0
58790,2019-02-07,0.0,b'1',1.0,67.0,2.0,13.0,146.0
18505,2016-12-06,2026.3424518743668,b'1',26.0,57.0,1.0,11.0,171.0
20433,2016-12-20,0.0,b'0',14.0,46.0,3.0,9.0,159.0
871,2017-01-09,0.0,b'1',19.0,57.0,1.0,3.0,164.0
3127,2016-04-11,0.0,b'0',1.0,48.0,1.0,8.0,146.0
96498,2021-03-10,0.0,b'1',20.0,74.0,3.0,9.0,165.0
45992,2018-04-16,0.0,b'0',17.0,75.0,1.0,5.0,162.0
87307,2020-10-12,2026.3424518743668,b'1',9.0,71.0,3.0,6.0,154.0
7812,2016-05-09,810.5369807497467,b'0',3.0,57.0,3.0,9.0,148.0
56514,2019-02-18,810.5369807497467,b'0',6.0,52.0,1.0,11.0,151.0
52523,2018-09-06,0.0,b'0',14.0,45.0,2.0,3.0,159.0
53562,2018-10-16,0.0,b'0',26.0,59.0,2.0,5.0,171.0
47920,2018-09-24,0.0,b'1',15.0,44.0,2.0,12.0,160.0
73830,2019-11-20,0.0,b'1',1.0,58.0,1.0,9.0,146.0
88307,2020-10-27,0.0,b'0',1.0,51.0,3.0,9.0,146.0
11029,2017-05-23,0.0,b'1',15.0,58.0,1.0,8.0,160.0
94209,2020-12-30,0.0,b'1',22.0,50.0,2.0,9.0,167.0
16603,2017-03-01,0.0,b'1',15.0,51.0,1.0,9.0,160.0
81309,2020-06-01,0.0,b'0',13.0,68.0,2.0,9.0,158.0
70868,2019-09-27,810.5369807497467,b'0',30.0,59.0,1.0,9.0,175.0
90992,2020-11-11,4559.270516717325,b'1',22.0,57.0,3.0,9.0,167.0
38179,2018-06-19,0.0,b'1',24.0,52.0,1.0,10.0,169.0
28571,2017-06-22,0.0,b'1',13.0,46.0,1.0,9.0,158.0
28805,2017-08-15,0.0,b'0',1.0,52.0,2.0,9.0,146.0
46434,2018-10-17,0.0,b'1',19.0,44.0,1.0,9.0,164.0
51040,2018-10-19,0.0,b'1',1.0,53.0,1.0,9.0,146.0
72742,2019-10-28,1783.1813576494428,b'1',28.0,43.0,1.0,9.0,173.0
62557,2019-05-15,1013.1712259371834,b'0',9.0,63.0,2.0,3.0,154.0
60803,2019-06-03,0.0,b'1',19.0,72.0,3.0,6.0,164.0
85143,2020-07-22,1519.756838905775,b'1',15.0,56.0,2.0,9.0,160.0
53172,2018-12-20,2026.3424518743668,b'1',28.0,57.0,2.0,9.0,173.0
85280,2020-09-21,0.0,b'0',19.0,59.0,3.0,3.0,164.0
86115,2020-10-05,0.0,b'0',21.0,58.0,1.0,9.0,166.0
69071,2019-09-18,0.0,b'0',19.0,48.0,1.0,9.0,164.0
3937,2016-02-16,0.0,b'0',19.0,51.0,1.0,6.0,164.0
30541,2017-06-26,506.5856129685917,b'1',20.0,45.0,1.0,9.0,165.0
85519,2020-07-10,0.0,b'1',1.0,37.0,1.0,11.0,146.0
89602,2020-10-29,0.0,b'1',19.0,68.0,2.0,9.0,164.0
91158,2020-10-09,0.0,b'0',1.0,48.0,1.0,9.0,146.0
38741,2018-01-11,3799.392097264438,b'1',22.0,53.0,2.0,9.0,167.0
56595,2018-11-12,0.0,b'1',4.0,45.0,1.0,6.0,149.0
80298,2020-03-31,0.0,b'0',11.0,74.0,1.0,5.0,156.0
72678,2019-10-25,1013.1712259371834,b'0',19.0,53.0,1.0,9.0,164.0
59345,2019-02-19,1013.1712259371834,b'1',16.0,47.0,2.0,6.0,161.0
68861,2020-02-12,10131.712259371834,b'1',1.0,67.0,1.0,8.0,146.0
73455,2019-11-21,0.0,b'1',6.0,51.0,1.0,5.0,151.0
5316,2016-03-31,1013.1712259371834,b'1',12.0,74.0,1.0,8.0,157.0
30776,2017-07-25,0.0,b'1',14.0,64.0,1.0,6.0,159.0
76290,2020-01-16,0.0,b'1',25.0,50.0,1.0,9.0,170.0
71740,2020-05-26,0.0,b'1',25.0,60.0,1.0,9.0,170.0
75809,2020-03-05,0.0,b'1',19.0,67.0,2.0,9.0,164.0
61530,2019-04-08,0.0,b'1',1.0,49.0,1.0,6.0,146.0
33332,2017-11-07,0.0,b'0',15.0,50.0,2.0,9.0,160.0
90466,2020-11-18,1621.0739614994934,b'1',22.0,54.0,1.0,7.0,167.0
88771,2020-10-14,506.5856129685917,b'1',9.0,41.0,3.0,7.0,154.0
93410,2021-02-02,0.0,b'1',19.0,66.0,3.0,8.0,164.0
86765,2020-09-04,0.0,b'1',9.0,52.0,1.0,9.0,154.0
63,2016-01-28,0.0,b'1',22.0,58.0,2.0,9.0,167.0
26522,2017-05-18,4052.6849037487336,b'0',15.0,54.0,2.0,6.0,160.0
19177,2016-12-08,607.90273556231,b'1',26.0,47.0,1.0,4.0,171.0
29463,2017-07-24,810.5369807497467,b'1',19.0,49.0,3.0,9.0,164.0
47664,2018-07-13,0.0,b'1',14.0,70.0,1.0,9.0,159.0
62089,2019-04-05,810.5369807497467,b'1',2.0,66.0,4.0,11.0,147.0
94637,2021-02-23,0.0,b'0',14.0,53.0,3.0,9.0,159.0
66156,2019-07-31,0.0,b'1',30.0,54.0,1.0,9.0,175.0
44758,2018-03-27,0.0,b'0',13.0,56.0,3.0,9.0,158.0
25383,2017-03-14,0.0,b'1',3.0,49.0,1.0,9.0,148.0
30599,2017-06-27,4052.6849037487336,b'1',11.0,55.0,1.0,9.0,156.0
29544,2017-06-28,0.0,b'0',19.0,59.0,1.0,9.0,164.0
70257,2019-11-05,0.0,b'0',1.0,55.0,2.0,6.0,146.0
29021,2017-05-22,0.0,b'1',1.0,49.0,1.0,9.0,146.0
12604,2016-09-15,0.0,b'1',25.0,57.0,2.0,9.0,170.0
4320,2016-04-15,0.0,b'1',14.0,59.0,2.0,9.0,159.0
25590,2017-06-13,0.0,b'0',22.0,43.0,1.0,9.0,167.0
82283,2020-06-08,0.0,b'0',14.0,64.0,1.0,6.0,159.0
56844,2019-03-21,0.0,b'1',31.0,47.0,1.0,9.0,176.0
40162,2018-07-06,1013.1712259371834,b'1',31.0,71.0,2.0,9.0,176.0
52183,2018-09-19,1215.80547112462,b'1',17.0,50.0,1.0,9.0,162.0
69479,2019-09-19,2532.9280648429585,b'1',11.0,75.0,2.0,9.0,156.0
87184,2020-08-31,0.0,b'1',19.0,57.0,3.0,9.0,164.0
31915,2017-08-29,0.0,b'1',1.0,50.0,2.0,8.0,146.0
17570,2016-12-01,0.0,b'1',14.0,61.0,3.0,3.0,159.0
81740,2020-07-08,0.0,b'1',25.0,58.0,2.0,9.0,170.0
1567,2016-04-29,3039.51367781155,b'1',15.0,46.0,2.0,9.0,160.0
72547,2019-12-17,1519.756838905775,b'0',22.0,42.0,1.0,9.0,167.0
15552,2016-11-17,0.0,b'0',9.0,50.0,3.0,9.0,154.0
18278,2016-10-26,0.0,b'1',31.0,60.0,1.0,6.0,176.0
72712,2019-10-25,658.5612968591691,b'1',23.0,75.0,1.0,9.0,168.0
73171,2020-02-07,3039.51367781155,b'1',15.0,74.0,3.0,9.0,160.0
57242,2019-01-21,0.0,b'1',30.0,74.0,1.0,6.0,175.0
70629,2019-09-20,2026.3424518743668,b'1',14.0,75.0,3.0,6.0,159.0
